date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:56	49311/49311	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2013%20Feb%202024%2010:54:16%20GMT	https://vedix.com/cdn/shop/t/7/assets/gtm-suite.js?v=72062079273560409831707821370	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/gtm-suiteffa9.js	(from https://vedix.com/pages/subscription)
21:16:57	154728/154728	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e69ff4916f5375308d05c0a57bfb557c%22	https://pdp.gokwik.co/v4/build/gokwik.js	C:/My%20Web%20Sites/new/pdp.gokwik.co/v4/build/gokwik.js	(from https://vedix.com/pages/subscription)
21:16:57	40047/40047	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2007:15:19%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-zeel-1.jpg?v=1706469315	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-zeel-17f72.jpg	(from https://vedix.com/pages/subscription)
21:16:57	1217/1217	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:26:29%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/check-icon-squiggly.png?v=1706472542	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/check-icon-squigglyd2b2.png	(from https://vedix.com/pages/subscription)
21:16:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:46:58%20GMT	http://dev.vedix.com/cdn/shop/files/accordion-bg-pattern.png?v=1705998639	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/accordion-bg-pattern.dd7f6.delayed	(from https://vedix.com/pages/subscription)
21:17:00	35754/35754	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:26:29%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-3StepHairRegimen.jpg?v=1706599383	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-3StepHairRegimen648b.jpg	(from https://vedix.com/pages/subscription)
21:17:00	505793/505793	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2012:54:57%20GMT	https://dev.vedix.com/cdn/shop/files/accordion-bg-pattern.png?v=1705998639	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/accordion-bg-patternd7f6.png	(from https://vedix.com/pages/subscription)
21:17:00	40123/40123	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:40%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-4StepHairRegimen.jpg?v=1706599383	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-4StepHairRegimen648b.jpg	(from https://vedix.com/pages/subscription)
21:17:00	39120/39120	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:40%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-5StepHairRegimen.jpg?v=1706599383	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-5StepHairRegimen648b.jpg	(from https://vedix.com/pages/subscription)
21:17:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:00%20GMT	http://dev.vedix.com/cdn/shop/files/Awards_Grazia.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Grazia.12defa.delayed	(from https://vedix.com/pages/subscription)
21:17:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:02%20GMT	http://dev.vedix.com/cdn/shop/files/Awards_Economic_Times.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Economic_Times.14defa.delayed	(from https://vedix.com/pages/subscription)
21:17:03	37509/37509	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:39:06%20GMT	https://dev.vedix.com/cdn/shop/files/Awards_Grazia.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Graziadefa.jpg	(from https://vedix.com/pages/subscription)
21:17:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:03%20GMT	http://dev.vedix.com/cdn/shop/files/Awards_Femina.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Femina.16defa.delayed	(from https://vedix.com/pages/subscription)
21:17:03	33645/33645	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2011:44:12%20GMT	https://dev.vedix.com/cdn/shop/files/Awards_Economic_Times.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Economic_Timesdefa.jpg	(from https://vedix.com/pages/subscription)
21:17:03	28891/28891	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:39:00%20GMT	https://dev.vedix.com/cdn/shop/files/Awards_Femina.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Feminadefa.jpg	(from https://vedix.com/pages/subscription)
21:17:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:03%20GMT	http://dev.vedix.com/cdn/shop/files/Awards_Cosmopolitan.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Cosmopolitan.18defa.delayed	(from https://vedix.com/pages/subscription)
21:17:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:05%20GMT	http://dev.vedix.com/cdn/shop/files/Awards_Enterpreneur.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Enterpreneur.1adefa.delayed	(from https://vedix.com/pages/subscription)
21:17:05	39279/39279	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202024%2016:48:31%20GMT	https://dev.vedix.com/cdn/shop/files/Awards_Cosmopolitan.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Cosmopolitandefa.jpg	(from https://vedix.com/pages/subscription)
21:17:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:06%20GMT	http://dev.vedix.com/cdn/shop/files/bg-product-lg.png?v=1702291004	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/bg-product-lg.1c6a59.delayed	(from https://vedix.com/pages/subscription)
21:17:06	30496/30496	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2011:44:13%20GMT	https://dev.vedix.com/cdn/shop/files/Awards_Enterpreneur.jpg?v=1705845122	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/Awards_Enterpreneurdefa.jpg	(from https://vedix.com/pages/subscription)
21:17:07	51477/51477	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2014:43:13%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/amla_299.jpg?v=1710420604	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/amla_299a038.jpg	(from https://vedix.com/pages/subscription)
21:17:07	156300/156300	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:41%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/booklet_free_499.png?v=1639036724	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/booklet_free_499600e.png	(from https://vedix.com/pages/subscription)
21:17:08	2117615/2117615	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2012:54:57%20GMT	https://dev.vedix.com/cdn/shop/files/bg-product-lg.png?v=1702291004	C:/My%20Web%20Sites/new/dev.vedix.com/cdn/shop/files/bg-product-lg6a59.png	(from https://vedix.com/pages/subscription)
21:17:08	73280/73280	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2010:23:51%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/bg-tatva.jpg?v=1707132137	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/bg-tatva1a89.jpg	(from https://vedix.com/pages/subscription)
21:17:09	7688/7688	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:41%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/tatva-logo-anek.png?v=1701849308	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/tatva-logo-aneka093.png	(from https://vedix.com/pages/subscription)
21:17:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:08%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-off.png?v=17414058382070234252	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-off.22ee1c.delayed	(from https://vedix.com/pages/subscription)
21:17:10	2316/2316	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:56%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-off.png?v=17414058382070234252	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-offee1c.png	(from https://vedix.com/pages/subscription)
21:17:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:10%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-gift.png?v=13073042163519668841	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-giftaf9a.png	(from https://vedix.com/pages/subscription)
21:17:11	1729/1729	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2011:44:21%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-gift.png?v=13073042163519668841	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-giftaf9a.png	(from https://vedix.com/pages/subscription)
21:17:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:10%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-deals.png?v=13450354361047835145	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-dealsaeaf.png	(from https://vedix.com/pages/subscription)
21:17:11	2067/2067	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:41%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-deals.png?v=13450354361047835145	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-dealsaeaf.png	(from https://vedix.com/pages/subscription)
21:17:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:14%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-priority.png?v=7294289477343909198	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-priorityfe8e.png	(from https://vedix.com/pages/subscription)
21:17:15	1682/1682	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Feb%202024%2011:53:12%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-priority.png?v=7294289477343909198	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-priorityfe8e.png	(from https://vedix.com/pages/subscription)
21:17:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:14%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-shipping.png?v=15344033739949087614	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-shipping685c.png	(from https://vedix.com/pages/subscription)
21:17:15	1444/1444	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:47%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-shipping.png?v=15344033739949087614	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-shipping685c.png	(from https://vedix.com/pages/subscription)
21:17:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:15%20GMT	http://vedix.com/cdn/shop/files/analysis-icon-free.png?v=13670990127123260267	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-free02e2.png	(from https://vedix.com/pages/subscription)
21:17:16	2282/2282	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:39:08%20GMT	https://vedix.com/cdn/shop/files/analysis-icon-free.png?v=13670990127123260267	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-icon-free02e2.png	(from https://vedix.com/pages/subscription)
21:17:16	135782/135782	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2012:54:54%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/poly-herbalism.jpg?v=1707133598	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/poly-herbalism811a.jpg	(from https://vedix.com/pages/subscription)
21:17:16	33214/33214	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:40%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-zeel-2.jpg?v=1706469315	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-zeel-27f72.jpg	(from https://vedix.com/pages/subscription)
21:17:17	84726/84726	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2009:11:57%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-quality.jpg?v=1707137852	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-quality5b6b.jpg	(from https://vedix.com/pages/subscription)
21:17:17	70191/70191	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2011:44:24%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-uniqueness-m.jpg?v=1707154061	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-uniqueness-ma60d.jpg	(from https://vedix.com/pages/subscription)
21:17:17	56402/56402	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:41%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-uniqueness-d.jpg?v=1707154061	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-uniqueness-da60d.jpg	(from https://vedix.com/pages/subscription)
21:17:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:17%20GMT	http://vedix.com/cdn/shop/files/analysis-review-nupur.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-nupurdc9b.jpg	(from https://vedix.com/pages/subscription)
21:17:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:19%20GMT	http://vedix.com/cdn/shop/files/analysis-review-shreya.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-shreya.35dc9b.delayed	(from https://vedix.com/pages/subscription)
21:17:20	50238/50238	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:40%20GMT	https://vedix.com/cdn/shop/files/analysis-review-nupur.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-nupurdc9b.jpg	(from https://vedix.com/pages/subscription)
21:17:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:20%20GMT	http://vedix.com/cdn/shop/files/analysis-review-kiran.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-kiran.37dc9b.delayed	(from https://vedix.com/pages/subscription)
21:17:21	57876/57876	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:41%20GMT	https://vedix.com/cdn/shop/files/analysis-review-shreya.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-shreyadc9b.jpg	(from https://vedix.com/pages/subscription)
21:17:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:21%20GMT	http://vedix.com/cdn/shop/files/analysis-review-madhav.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-madhav.39e690.delayed	(from https://vedix.com/pages/subscription)
21:17:22	44999/44999	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:42%20GMT	https://vedix.com/cdn/shop/files/analysis-review-kiran.jpg?v=1707154858')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-kirandc9b.jpg	(from https://vedix.com/pages/subscription)
21:17:22	26272/26272	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:44%20GMT	https://vedix.com/cdn/shop/files/analysis-review-madhav.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-madhave690.jpg	(from https://vedix.com/pages/subscription)
21:17:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:22%20GMT	http://vedix.com/cdn/shop/files/analysis-review-raghu.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-raghu.3be690.delayed	(from https://vedix.com/pages/subscription)
21:17:25	20263/20263	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:46%20GMT	https://vedix.com/cdn/shop/files/analysis-review-raghu.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-raghue690.jpg	(from https://vedix.com/pages/subscription)
21:17:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:24%20GMT	http://vedix.com/cdn/shop/files/analysis-review-suraj.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-suraj.3de690.delayed	(from https://vedix.com/pages/subscription)
21:17:25	17516/17516	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2000:12:46%20GMT	https://vedix.com/cdn/shop/files/analysis-review-suraj.jpg?v=1710393040')	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/analysis-review-suraje690.jpg	(from https://vedix.com/pages/subscription)
21:17:25	76253/76253	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2010:22:25%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-pricejustification.jpg?v=1707158049	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-pricejustificationd653.jpg	(from https://vedix.com/pages/subscription)
21:17:26	52097/52097	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:40%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-pricejustification-men.jpg?v=1707158049	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/en-analysis-pricejustification-mend653.jpg	(from https://vedix.com/pages/subscription)
21:17:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:25%20GMT	http://vedix.com/cdn/shop/files/Story_Ankita_Lokhande.jpg?v=9418566961791326771	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Ankita_Lokhande.415420.delayed	(from https://vedix.com/pages/subscription)
21:17:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:27%20GMT	http://vedix.com/cdn/shop/files/Ankita_Lokhande.jpg?v=7300787247108782829	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Ankita_Lokhande4424.jpg	(from https://vedix.com/pages/subscription)
21:17:28	107830/107830	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:39:10%20GMT	https://vedix.com/cdn/shop/files/Story_Ankita_Lokhande.jpg?v=9418566961791326771	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Ankita_Lokhande5420.jpg	(from https://vedix.com/pages/subscription)
21:17:28	4757/4757	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:59%20GMT	https://vedix.com/cdn/shop/files/Ankita_Lokhande.jpg?v=7300787247108782829	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Ankita_Lokhande4424.jpg	(from https://vedix.com/pages/subscription)
21:17:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:28%20GMT	http://vedix.com/cdn/shop/files/Story_Kajal_Agarwal.jpg?v=222635184847525597	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Kajal_Agarwal9fd5.jpg	(from https://vedix.com/pages/subscription)
21:17:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:29%20GMT	http://vedix.com/cdn/shop/files/Kajal_Agarwal.jpg?v=9966511955969627267	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Kajal_Agarwalee07.jpg	(from https://vedix.com/pages/subscription)
21:17:31	165966/165966	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2011:44:34%20GMT	https://vedix.com/cdn/shop/files/Story_Kajal_Agarwal.jpg?v=222635184847525597	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Kajal_Agarwal9fd5.jpg	(from https://vedix.com/pages/subscription)
21:17:31	4596/4596	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:58%20GMT	https://vedix.com/cdn/shop/files/Kajal_Agarwal.jpg?v=9966511955969627267	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Kajal_Agarwalee07.jpg	(from https://vedix.com/pages/subscription)
21:17:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:31%20GMT	http://vedix.com/cdn/shop/files/Story_Neha_Dhupia.jpg?v=12867225113971512721	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Neha_Dhupia9ad5.jpg	(from https://vedix.com/pages/subscription)
21:17:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:47:33%20GMT	http://vedix.com/cdn/shop/files/Neha_Dhupia.jpg?v=9827217402738852548	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Neha_Dhupiaa775.jpg	(from https://vedix.com/pages/subscription)
21:17:35	111673/111673	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:39:11%20GMT	https://vedix.com/cdn/shop/files/Story_Neha_Dhupia.jpg?v=12867225113971512721	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Story_Neha_Dhupia9ad5.jpg	(from https://vedix.com/pages/subscription)
21:17:35	5435/5435	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Mar%202024%2008:38:54%20GMT	https://vedix.com/cdn/shop/files/Neha_Dhupia.jpg?v=9827217402738852548	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/files/Neha_Dhupiaa775.jpg	(from https://vedix.com/pages/subscription)
21:17:36	250640/250640	---M--	200	added ('OK')	image/gif	date:Fri,%2008%20Mar%202024%2008:40:31%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/prakriya.gif?v=1707166638	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/prakriyafb41.gif	(from https://vedix.com/pages/subscription)
21:17:37	16455/16455	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2008:38:40%20GMT	https://cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-payment-options.png?v=1707168321	C:/My%20Web%20Sites/new/cdn.shopify.com/s/files/1/0037/7690/5283/files/analysis-payment-options46a0.png	(from https://vedix.com/pages/subscription)
